"index_col","Company","TypeName","Inches","screen_size","resolution_width","resolution_height","ips_panel","touchscreen","cpu_brand","cpu_name","cpu_speed","Ram","memory_type","primary_storage","secondary_storage","gpu_brand","OpSys","Weight","price","ppi"
1,"HP","Ultrabook",12.5,"small",3840,2160,1,1,"Intel","Core M",1.2,8,"SSD","512","0","Intel","windows",0.97,107306,352
2,"Asus","Notebook",17.3,"large",1920,1080,0,0,"Intel","Core i7",1.8,8,"Hybrid","128","1024","Nvidia","windows",2.1,61006,127
3,"Apple","Ultrabook",13.3,"small",2560,1600,1,0,"Intel","Core i5",2.3,8,"SSD","128","0","Intel","macos",1.37,71379,227
4,"Asus","Notebook",17.3,"large",1366,768,0,0,"Intel","Pentium Quad",1.1,4,"HDD","1024","0","Nvidia","windows",2.8,24828,91
5,"Asus","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Celeron Dual",1.1,4,"HDD","1024","0","Intel","windows",2.0,18328,141
6,"Acer","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i3",2.0,4,"HDD","1024","0","Intel","windows",2.1,23816,100
7,"Dell","Gaming",15.6,"medium",1920,1080,0,0,"Intel","Core i7",2.8,16,"SSD","512","0","Nvidia","windows",2.56,66561,141
8,"Apple","Ultrabook",13.3,"small",1440,900,0,0,"Intel","Core i5",1.8,8,"Flash Storage","128","0","Intel","macos",1.34,47896,128
9,"Dell","Gaming",15.6,"medium",1920,1080,0,0,"Intel","Core i7",2.8,8,"Hybrid","1024","0","Nvidia","windows",2.62,47899,141
10,"Asus","Notebook",17.3,"large",1920,1080,0,0,"Intel","Core i7",2.7,8,"Hybrid","128","1024","Nvidia","N/A",2.69,47366,127
11,"Acer","Notebook",15.6,"medium",1920,1080,1,0,"Intel","Core i7",1.8,8,"SSD","256","0","Nvidia","windows",2.2,44808,141
12,"Lenovo","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i5",2.5,4,"SSD","128","0","Intel","windows",1.9,26533,100
13,"Dell","Gaming",15.6,"medium",1920,1080,0,0,"Intel","Core i5",2.5,8,"SSD","256","0","Nvidia","windows",2.56,46833,141
14,"HP","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",2.5,8,"SSD","256","0","Intel","N/A",1.86,30636,141
15,"MSI","Gaming",17.3,"large",1920,1080,0,0,"Intel","Core i7",2.8,16,"Hybrid","256","1024","Nvidia","windows",2.8,100699,127
16,"Lenovo","2 in 1 Convertible",13.9,"small",1920,1080,1,1,"Intel","Core i7",2.7,8,"SSD","256","0","Intel","windows",1.38,57489,158
17,"HP","Ultrabook",14.0,"medium",1920,1080,0,0,"Intel","Core i5",2.7,4,"SSD","256","0","Intel","windows",1.48,57649,157
18,"Apple","Ultrabook",15.4,"medium",2880,1800,1,0,"Intel","Core i7",2.7,16,"SSD","512","0","AMD","macos",1.83,135195,221
19,"HP","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",1.6,6,"SSD","256","0","AMD","windows",1.91,32980,141
20,"Lenovo","2 in 1 Convertible",14.0,"medium",1920,1080,1,1,"Intel","Core i3",2.4,4,"SSD","256","0","Intel","windows",1.74,33513,157
21,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",1.8,8,"Hybrid","128","2048","AMD","windows",2.2,52481,141
22,"Asus","2 in 1 Convertible",13.3,"small",1920,1080,0,1,"Intel","Core i5",1.6,8,"SSD","256","0","Intel","windows",1.1,70063,166
23,"Apple","Ultrabook",13.3,"small",2560,1600,1,0,"Intel","Core i5",3.1,8,"SSD","256","0","Intel","macos",1.37,96096,227
24,"HP","Notebook",15.6,"medium",1920,1080,0,0,"AMD","A6-Series 9220",2.5,4,"SSD","256","0","AMD","windows",1.86,21232,141
25,"HP","Notebook",15.6,"medium",1366,768,0,1,"Intel","Core i5",2.5,8,"HDD","1024","0","Intel","windows",2.04,29784,100
26,"Asus","Gaming",17.3,"large",1920,1080,0,0,"Intel","Core i7",2.9,16,"SSD","256","0","Nvidia","windows",3.6,159787,127
27,"HP","Notebook",13.3,"small",1920,1080,0,0,"Intel","Core i7",1.8,8,"SSD","512","0","Intel","windows",1.49,58768,166
28,"HP","Notebook",13.3,"small",1920,1080,1,0,"Intel","Core i5",1.6,4,"HDD","500","0","Intel","windows",1.49,35964,166
29,"Acer","Notebook",15.6,"medium",1366,768,0,0,"AMD","A9-Series 9420",3.0,4,"HDD","500","0","AMD","windows",2.1,21312,100
30,"Apple","Ultrabook",15.4,"medium",2880,1800,1,0,"Intel","Core i7",2.2,16,"Flash Storage","256","0","Intel","macos",2.04,114018,221
31,"Apple","Ultrabook",13.3,"small",2560,1600,1,0,"Intel","Core i5",3.1,8,"SSD","512","0","Intel","macos",1.37,108691,227
32,"Dell","2 in 1 Convertible",15.6,"medium",1920,1080,1,1,"Intel","Core i7",1.8,8,"HDD","1024","0","Intel","windows",2.08,43636,141
33,"Apple","Ultrabook",13.3,"small",1440,900,0,0,"Intel","Core i5",1.8,8,"Flash Storage","256","0","Intel","macos",1.34,61736,128
34,"Asus","Gaming",17.3,"large",1920,1080,0,0,"Intel","Core i7",2.8,16,"Hybrid","256","1024","Nvidia","windows",4.3,95851,127
35,"Acer","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i3",2.4,4,"HDD","1024","0","Intel","windows",2.4,20460,100
36,"Asus","Ultrabook",14.0,"medium",1920,1080,0,0,"Intel","Core i7",1.8,16,"SSD","512","0","Nvidia","windows",1.3,79654,157
37,"Acer","Ultrabook",14.0,"medium",1920,1080,1,0,"Intel","Core i5",1.6,8,"SSD","256","0","Intel","windows",1.6,41026,157
38,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i7",1.8,8,"SSD","256","0","AMD","windows",2.13,40908,141
39,"HP","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i5",2.5,4,"HDD","500","0","Intel","N/A",1.86,20987,100
40,"HP","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i3",2.0,4,"SSD","128","0","Intel","windows",1.91,23390,141
41,"Asus","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i5",2.5,4,"SSD","256","0","Intel","windows",2.0,31232,100
42,"Dell","2 in 1 Convertible",15.6,"medium",1920,1080,0,1,"Intel","Core i7",1.8,8,"SSD","256","0","Intel","windows",1.56,55891,141
43,"MSI","Gaming",17.3,"large",1920,1080,0,0,"Intel","Core i7",2.8,16,"Hybrid","256","2048","Nvidia","windows",2.43,130483,127
44,"Toshiba","Notebook",15.6,"medium",1366,768,0,0,"Intel","Core i3",2.2,4,"HDD","500","0","Intel","windows",2.1,23816,100
45,"Asus","Notebook",15.6,"medium",1366,768,0,0,"AMD","A9-Series 9420",3.0,4,"HDD","1024","0","AMD","windows",2.03,21472,100
46,"Asus","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i3",2.0,4,"SSD","256","0","Intel","linux",2.0,22111,141
47,"Acer","Notebook",17.3,"large",1920,1080,1,0,"Intel","Core i5",1.6,4,"SSD","256","0","Nvidia","windows",3.0,42890,127
48,"Dell","Notebook",15.6,"medium",1920,1080,0,0,"Intel","Core i5",1.6,8,"SSD","256","0","AMD","windows",2.13,38788,141
49,"Dell","Notebook",17.3,"large",1920,1080,0,0,"Intel","Core i7",1.8,16,"Hybrid","256","2048","AMD","windows",2.8,69211,127
50,"Lenovo","Gaming",15.6,"medium",1920,1080,1,0,"Intel","Core i7",2.8,16,"SSD","256","0","Nvidia","windows",2.5,57489,141
